"","ids.1","ids.2","strata.1","strata.2","mismatch.loci","num.loci.genotyped","num.loci.shared","prop.loci.shared"
"1","z0195709","z0195710","Default","Default",NA,318,318,1
"2","z0045776","z0056069","Default","Default",NA,318,318,1
"3","z0051888","z0196857","Default","Default",NA,317,317,1
"4","z0043278","z0043994","Default","Default",NA,313,313,1
"5","z0195771","z0195772","Default","Default",NA,312,312,1
"6","z0196731","z0196732","Default","Default",NA,308,308,1
"7","z0051324","z0051326","Default","Default",NA,299,299,1
"8","z0175912","z0196708","Default","Default",NA,271,271,1
"9","z0196809","z0196838","Default","Default",NA,270,270,1
"10","z0045347","z0196845","Default","Default",NA,269,269,1
"11","z0197659","z0197660","Default","Default",NA,263,263,1
"12","z0195673","z0195687","Default","Default",NA,253,253,1
"13","z0030475","z0067213","Default","Default",NA,248,248,1
"14","z0012201","z0100814","Default","Default",NA,142,142,1
"15","z0029846","z0053760","Default","Default","Mnov_gtseq_91",276,275,0.996376811594203
"16","z0187868","z0196839","Default","Default","Mnov_gtseq_222",260,259,0.996153846153846
"17","z0062886","z0145401","Default","Default","Mnov_gtseq_235",167,166,0.994011976047904
"18","z0067213","z0145401","Default","Default","Mnov_gtseq_124",165,164,0.993939393939394
"19","z0030475","z0145401","Default","Default","Mnov_gtseq_124",165,164,0.993939393939394
"20","z0062886","z0067213","Default","Default","Mnov_gtseq_124, Mnov_gtseq_235",265,263,0.992452830188679
"21","z0030475","z0062886","Default","Default","Mnov_gtseq_124, Mnov_gtseq_235",248,246,0.991935483870968
"22","z0030424","z0032258","Default","Default","Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_361, Mnov_gtseq_86",239,235,0.98326359832636
"23","z0017317","z0025439","Default","Default","Mnov_gtseq_10, Mnov_gtseq_318, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",251,246,0.9800796812749
"24","z0011162","z0025439","Default","Default","Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_55, Mnov_gtseq_56",243,237,0.975308641975309
"25","z0017317","z0042288","Default","Default","Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",198,193,0.974747474747475
"26","z0011162","z0017317","Default","Default","Mnov_gtseq_10, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_318, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_55",237,230,0.970464135021097
"27","z0025439","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",199,193,0.969849246231156
"28","z0053757","z0196811","Default","Default","Mnov_gtseq_195, Mnov_gtseq_300, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84",142,137,0.964788732394366
"29","z0011162","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_398, Mnov_gtseq_440, Mnov_gtseq_55, Mnov_gtseq_56",201,193,0.960199004975124
"30","z0012201","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_410, Mnov_gtseq_68",154,147,0.954545454545455
"31","z0067213","z0100814","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_68",137,130,0.948905109489051
"32","z0012201","z0030475","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_410, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_86",230,218,0.947826086956522
"33","z0100814","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_68",113,107,0.946902654867257
"34","z0012201","z0062886","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_394, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_86",244,230,0.942622950819672
"35","z0062886","z0100814","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_68, Mnov_gtseq_86",135,127,0.940740740740741
"36","z0030475","z0100814","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_68, Mnov_gtseq_86",135,127,0.940740740740741
"37","z0032258","z0100814","Default","Default","Mnov_gtseq_205, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_84, Mnov_gtseq_86",133,125,0.93984962406015
"38","z0032258","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_291, Mnov_gtseq_361, Mnov_gtseq_440, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_83",194,182,0.938144329896907
"39","z0012201","z0067213","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_130, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_394, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_68",254,238,0.937007874015748
"40","z0030424","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_143, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_232, Mnov_gtseq_291, Mnov_gtseq_361, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_83, Mnov_gtseq_86",189,177,0.936507936507937
"41","z0011162","z0032258","Default","Default","Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_217, Mnov_gtseq_291, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83",232,217,0.935344827586207
"42","z0017317","z0032258","Default","Default","Mnov_gtseq_10, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_217, Mnov_gtseq_232, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83",241,225,0.933609958506224
"43","z0032258","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",150,140,0.933333333333333
"44","z0025439","z0032258","Default","Default","Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_217, Mnov_gtseq_232, Mnov_gtseq_261, Mnov_gtseq_291, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83",251,234,0.932270916334661
"45","z0011162","z0030424","Default","Default","Mnov_gtseq_143, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_291, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83, Mnov_gtseq_86",221,206,0.932126696832579
"46","z0030424","z0100814","Default","Default","Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_84",132,123,0.931818181818182
"47","z0012201","z0030424","Default","Default","Mnov_gtseq_130, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_83, Mnov_gtseq_84",226,210,0.929203539823009
"48","z0017317","z0030424","Default","Default","Mnov_gtseq_10, Mnov_gtseq_143, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_232, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83, Mnov_gtseq_86",222,206,0.927927927927928
"49","z0025439","z0030424","Default","Default","Mnov_gtseq_143, Mnov_gtseq_170, Mnov_gtseq_205, Mnov_gtseq_209, Mnov_gtseq_232, Mnov_gtseq_261, Mnov_gtseq_291, Mnov_gtseq_318, Mnov_gtseq_361, Mnov_gtseq_445, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_83, Mnov_gtseq_86",231,214,0.926406926406926
"50","z0012201","z0032258","Default","Default","Mnov_gtseq_130, Mnov_gtseq_205, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_83, Mnov_gtseq_84, Mnov_gtseq_86",244,226,0.926229508196721
"51","z0011162","z0100814","Default","Default","Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_415, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_84, Mnov_gtseq_86",134,124,0.925373134328358
"52","z0025439","z0100814","Default","Default","Mnov_gtseq_232, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_84, Mnov_gtseq_86",133,123,0.924812030075188
"53","z0011162","z0012201","Default","Default","Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_415, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",233,215,0.92274678111588
"54","z0030475","z0032258","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",226,208,0.920353982300885
"55","z0012201","z0025439","Default","Default","Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",251,231,0.920318725099602
"56","z0012201","z0017317","Default","Default","Mnov_gtseq_10, Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_371, Mnov_gtseq_410, Mnov_gtseq_415, Mnov_gtseq_421, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_84, Mnov_gtseq_86",235,216,0.919148936170213
"57","z0030424","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",148,136,0.918918918918919
"58","z0032258","z0062886","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",240,220,0.916666666666667
"59","z0017317","z0100814","Default","Default","Mnov_gtseq_10, Mnov_gtseq_232, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_415, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_84, Mnov_gtseq_86",130,119,0.915384615384615
"60","z0025439","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_68, Mnov_gtseq_84",153,140,0.915032679738562
"61","z0011162","z0145401","Default","Default","Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_68, Mnov_gtseq_84",150,137,0.913333333333333
"62","z0042288","z0100814","Default","Default","Mnov_gtseq_10, Mnov_gtseq_232, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_415, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_84, Mnov_gtseq_86",126,115,0.912698412698413
"63","z0032258","z0067213","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_217, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_421, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",247,225,0.910931174089069
"64","z0030424","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84, Mnov_gtseq_86",216,196,0.907407407407407
"65","z0012201","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_130, Mnov_gtseq_143, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_371, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_84, Mnov_gtseq_86",193,175,0.906735751295337
"66","z0030424","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84, Mnov_gtseq_86",224,203,0.90625
"67","z0030424","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_22, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_471, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",228,206,0.903508771929825
"68","z0017317","z0145401","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_68, Mnov_gtseq_84",149,134,0.899328859060403
"69","z0025439","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",246,221,0.898373983739837
"70","z0025439","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_261, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",259,232,0.895752895752896
"71","z0025439","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",230,206,0.895652173913044
"72","z0011162","z0030475","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",221,197,0.891402714932127
"73","z0017317","z0030475","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",220,196,0.890909090909091
"74","z0011162","z0062886","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",229,204,0.890829694323144
"75","z0042288","z0145401","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_352, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",137,122,0.89051094890511
"76","z0017317","z0062886","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",233,207,0.888412017167382
"77","z0011162","z0067213","Default","Default","Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",233,207,0.888412017167382
"78","z0017317","z0067213","Default","Default","Mnov_gtseq_10, Mnov_gtseq_106, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_128, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_288, Mnov_gtseq_318, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_394, Mnov_gtseq_415, Mnov_gtseq_441, Mnov_gtseq_445, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_56, Mnov_gtseq_57, Mnov_gtseq_68, Mnov_gtseq_84",240,213,0.8875
"79","z0042288","z0062886","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",188,165,0.877659574468085
"80","z0042288","z0067213","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",191,167,0.87434554973822
"81","z0030475","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_143, Mnov_gtseq_205, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_235, Mnov_gtseq_270, Mnov_gtseq_288, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_352, Mnov_gtseq_361, Mnov_gtseq_398, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_441, Mnov_gtseq_451, Mnov_gtseq_514, Mnov_gtseq_55, Mnov_gtseq_68, Mnov_gtseq_84",188,164,0.872340425531915
