"","locus","CentAm-CA.OR.WA","HI-SEAK.NBC","MnMx-CA.OR.WA","num.significant"
"1","Mnov_gtseq_1",0.3364,0.8072,1,0
"2","Mnov_gtseq_10",0.7514,0.6216,1,0
"3","Mnov_gtseq_102",1,0.811,0.2798,0
"4","Mnov_gtseq_104",0.754,1,0.69,0
"5","Mnov_gtseq_106",1,0.4276,1,0
"6","Mnov_gtseq_107",1,0.7396,1,0
"7","Mnov_gtseq_111",1,0.5564,0.3808,0
"8","Mnov_gtseq_112",0.074,0.2328,0.3296,0
"9","Mnov_gtseq_113",0.164,0.071,0.572,0
"10","Mnov_gtseq_114",0.361,0.8142,0.11,0
"11","Mnov_gtseq_117",0.186,0.476,0.6154,0
"12","Mnov_gtseq_118",0,0,0,3
"13","Mnov_gtseq_12",0.3638,0.4582,0.669,0
"14","Mnov_gtseq_124",0.5634,0.0574,0.5452,0
"15","Mnov_gtseq_125",1,1,1,0
"16","Mnov_gtseq_126",1,1,1,0
"17","Mnov_gtseq_127",0.8008,0.812,1,0
"18","Mnov_gtseq_128",1,0.11,0.1448,0
"19","Mnov_gtseq_129",0.171,0.621,0.085,0
"20","Mnov_gtseq_13",0.6568,0.4678,0.0028,1
"21","Mnov_gtseq_130",0.7714,1,0.2168,0
"22","Mnov_gtseq_135",0.3634,0.1132,0.667,0
"23","Mnov_gtseq_138",0.6476,0.638,0.276,0
"24","Mnov_gtseq_140",0.6474,0.8116,0.6358,0
"25","Mnov_gtseq_141",1,0.49,1,0
"26","Mnov_gtseq_143",0.3132,0.6454,0.0428,1
"27","Mnov_gtseq_145",1,0.3326,1,0
"28","Mnov_gtseq_147",0.663,0.3608,0.1972,0
"29","Mnov_gtseq_148",0.5618,0.5106,0.0328,1
"30","Mnov_gtseq_149",0.0154,0.4732,0.8222,1
"31","Mnov_gtseq_15",0.6498,0.107,0.523,0
"32","Mnov_gtseq_152",0.4326,0.2812,0.7966,0
"33","Mnov_gtseq_154",0.1664,0.258,0.3714,0
"34","Mnov_gtseq_155",0,0.0042,0.0246,3
"35","Mnov_gtseq_157",0.829,0.6314,0.5126,0
"36","Mnov_gtseq_158",1,0.4654,0.8316,0
"37","Mnov_gtseq_159",0.7602,0.4362,0.797,0
"38","Mnov_gtseq_16",0.8082,0.2304,1,0
"39","Mnov_gtseq_160",0.3664,0.2486,0.2688,0
"40","Mnov_gtseq_161",0.7472,1,0.3862,0
"41","Mnov_gtseq_162",0.0024,0.3674,0.8244,1
"42","Mnov_gtseq_167",0.2156,0.648,0.019,1
"43","Mnov_gtseq_17",0.3776,0.0674,1,0
"44","Mnov_gtseq_170",0.764,0.1042,1,0
"45","Mnov_gtseq_171",0.5484,0.7238,0.2816,0
"46","Mnov_gtseq_173",0.6102,0.7768,1,0
"47","Mnov_gtseq_174",0.3022,1,0.7596,0
"48","Mnov_gtseq_180",1,1,0.2424,0
"49","Mnov_gtseq_182",0.7486,0.4428,0.4182,0
"50","Mnov_gtseq_186",1,0.4492,1,0
"51","Mnov_gtseq_187",0.167,0.1264,0.4648,0
"52","Mnov_gtseq_188",0.4854,0.4592,1,0
"53","Mnov_gtseq_189",0.0782,0.625,0.2804,0
"54","Mnov_gtseq_19",1,0.209,1,0
"55","Mnov_gtseq_190",0.6424,1,0.0882,0
"56","Mnov_gtseq_191",0.0112,0,0.0022,3
"57","Mnov_gtseq_192",0.0434,0.659,1,1
"58","Mnov_gtseq_193",0.4218,0.1346,1,0
"59","Mnov_gtseq_195",0.2708,0.0024,0.6752,1
"60","Mnov_gtseq_196",0.4928,1,0.1258,0
"61","Mnov_gtseq_197",0.117,0.5226,0.5614,0
"62","Mnov_gtseq_2",0.6074,1,0.6994,0
"63","Mnov_gtseq_200",0.6496,0.822,0.6432,0
"64","Mnov_gtseq_201",1,1,1,0
"65","Mnov_gtseq_202",0.2496,0.4952,0.8352,0
"66","Mnov_gtseq_204",1,1,0.3898,0
"67","Mnov_gtseq_205",0.2894,0.427,0.7626,0
"68","Mnov_gtseq_208",1,0.6412,0.6306,0
"69","Mnov_gtseq_209",0.6334,0.1626,0.135,0
"70","Mnov_gtseq_21",0.656,0.2542,0.6714,0
"71","Mnov_gtseq_210",0.0156,1,0.353,1
"72","Mnov_gtseq_213",0.4952,0.8176,1,0
"73","Mnov_gtseq_214",0.4898,0.0438,0.6596,1
"74","Mnov_gtseq_215",0.3492,0.82,0.3988,0
"75","Mnov_gtseq_216",0.0756,1,0.8338,0
"76","Mnov_gtseq_217",1,1,0.3012,0
"77","Mnov_gtseq_218",0.3712,0.2426,0.5134,0
"78","Mnov_gtseq_22",0.797,0.207,1,0
"79","Mnov_gtseq_220",0.8236,1,0.1994,0
"80","Mnov_gtseq_222",0.0054,0.0702,0.111,1
"81","Mnov_gtseq_223",0.3292,0.8008,0.8084,0
"82","Mnov_gtseq_225",0.66,0.4922,1,0
"83","Mnov_gtseq_227",0.4944,0.8026,0.199,0
"84","Mnov_gtseq_229",0.6554,0.6346,1,0
"85","Mnov_gtseq_230",0,0,0,3
"86","Mnov_gtseq_232",1,1,0.5184,0
"87","Mnov_gtseq_234",0.7886,1,1,0
"88","Mnov_gtseq_235",0.7524,0.2066,1,0
"89","Mnov_gtseq_237",0.1138,0.6192,0.5152,0
"90","Mnov_gtseq_238",0.2922,0.1362,0.0774,0
"91","Mnov_gtseq_239",0.7776,0.7712,0.6304,0
"92","Mnov_gtseq_240",0.2326,0.8146,0.0256,1
"93","Mnov_gtseq_241",1,1,0.6726,0
"94","Mnov_gtseq_243",0.1812,0.8118,1,0
"95","Mnov_gtseq_244",0.5862,0.0464,0.3496,1
"96","Mnov_gtseq_245",0.338,0.7986,0.4926,0
"97","Mnov_gtseq_246",0.0258,0.639,0.6674,1
"98","Mnov_gtseq_247",1,0.0382,0.4402,1
"99","Mnov_gtseq_248",0.7148,0.0032,0.7508,1
"100","Mnov_gtseq_25",0.1888,1,0.1296,0
"101","Mnov_gtseq_250",1,0.0698,1,0
"102","Mnov_gtseq_251",1,0.1702,1,0
"103","Mnov_gtseq_253",0.315,0.8134,0.3294,0
"104","Mnov_gtseq_254",0.4024,1,0.0276,1
"105","Mnov_gtseq_255",0.1616,0.7992,0.2418,0
"106","Mnov_gtseq_257",1,0.8098,0.8214,0
"107","Mnov_gtseq_258",0.6508,0.3378,0.663,0
"108","Mnov_gtseq_26",0.5162,1,0.4214,0
"109","Mnov_gtseq_260",0.092,0.1688,1,0
"110","Mnov_gtseq_261",0.3716,0.4856,0.288,0
"111","Mnov_gtseq_262",1,0.641,0.6358,0
"112","Mnov_gtseq_263",1,0.1686,0.6896,0
"113","Mnov_gtseq_265",0.1628,0.825,1,0
"114","Mnov_gtseq_268",0.5006,1,0.5334,0
"115","Mnov_gtseq_269",1,0.1082,0.8338,0
"116","Mnov_gtseq_270",0.4288,0.6778,0.7654,0
"117","Mnov_gtseq_271",0.0236,6e-04,0.6536,2
"118","Mnov_gtseq_273",0.106,0.3376,1,0
"119","Mnov_gtseq_274",0.1838,0.109,0.4074,0
"120","Mnov_gtseq_275",1,0.3178,0.3688,0
"121","Mnov_gtseq_277",1,0.2042,1,0
"122","Mnov_gtseq_278",0.6046,1,1,0
"123","Mnov_gtseq_28",0.7256,1,0.5596,0
"124","Mnov_gtseq_284",0.3164,0.49,0.0308,1
"125","Mnov_gtseq_285",1,0.7698,0.2266,0
"126","Mnov_gtseq_287",0.2224,1,0.5724,0
"127","Mnov_gtseq_288",0.6106,1,0.1454,0
"128","Mnov_gtseq_289",0.4894,1,1,0
"129","Mnov_gtseq_291",0.2992,0.1366,1,0
"130","Mnov_gtseq_297",1,1,0.0246,1
"131","Mnov_gtseq_298",0.7818,0.3198,0.7746,0
"132","Mnov_gtseq_299",1,0.8228,1,0
"133","Mnov_gtseq_30",0.5248,0.7952,0.7542,0
"134","Mnov_gtseq_300",0.0998,0.7992,1,0
"135","Mnov_gtseq_301",0.2632,0.8802,0.9328,0
"136","Mnov_gtseq_304",0,0,0,3
"137","Mnov_gtseq_305",0.1078,1,0.2804,0
"138","Mnov_gtseq_307",0.1846,0.4798,0.6522,0
"139","Mnov_gtseq_308",1,0.0644,0.6196,0
"140","Mnov_gtseq_309",0.2308,0.6488,0.8832,0
"141","Mnov_gtseq_310",0.1098,1,0.7346,0
"142","Mnov_gtseq_311",0.1064,0.4006,0.3328,0
"143","Mnov_gtseq_312",1,0.6296,0.021,1
"144","Mnov_gtseq_313",1,0.2516,1,0
"145","Mnov_gtseq_314",0.5006,0.4898,0.5158,0
"146","Mnov_gtseq_315",0.6316,1,0.5194,0
"147","Mnov_gtseq_317",0.6042,0.5808,1,0
"148","Mnov_gtseq_318",0.8138,0.0564,0.5134,0
"149","Mnov_gtseq_320",1,0.147,1,0
"150","Mnov_gtseq_321",0.7258,1,0.1676,0
"151","Mnov_gtseq_322",0.4982,1,1,0
"152","Mnov_gtseq_323",0.3692,1,0.8264,0
"153","Mnov_gtseq_326",1,1,1,0
"154","Mnov_gtseq_327",4e-04,0,0.002,3
"155","Mnov_gtseq_328",0.816,0.0884,0.0358,1
"156","Mnov_gtseq_33",0.4864,0.6328,0.3528,0
"157","Mnov_gtseq_332",0.1112,0.0164,0.344,1
"158","Mnov_gtseq_333",0.495,0.1698,0.4344,0
"159","Mnov_gtseq_334",1,0.1548,0.189,0
"160","Mnov_gtseq_335",0.4334,0.4502,1,0
"161","Mnov_gtseq_337",0.5684,0.8596,0.1258,0
"162","Mnov_gtseq_338",0.8122,0.803,0.0092,1
"163","Mnov_gtseq_339",0.3716,0.352,1,0
"164","Mnov_gtseq_340",0.2646,0.2564,0.676,0
"165","Mnov_gtseq_341",0.7464,0.3764,0.7754,0
"166","Mnov_gtseq_342",1,0.4498,0.5078,0
"167","Mnov_gtseq_344",0.229,0.817,1,0
"168","Mnov_gtseq_345",0.7962,0.656,0.5426,0
"169","Mnov_gtseq_347",0.039,0.7404,0.6236,1
"170","Mnov_gtseq_350",0.756,0.087,0.7722,0
"171","Mnov_gtseq_352",0.8134,0.1728,0.8372,0
"172","Mnov_gtseq_353",0.176,0.6518,0.5134,0
"173","Mnov_gtseq_354",0,2e-04,2e-04,3
"174","Mnov_gtseq_356",0.153,1,1,0
"175","Mnov_gtseq_357",1,0.8242,0.2006,0
"176","Mnov_gtseq_359",1,1,0.5778,0
"177","Mnov_gtseq_360",8e-04,0,0,3
"178","Mnov_gtseq_361",1,1,1,0
"179","Mnov_gtseq_363",0.168,0.3306,0.1448,0
"180","Mnov_gtseq_364",1,0.8034,0.8118,0
"181","Mnov_gtseq_366",0.6268,1,0.556,0
"182","Mnov_gtseq_368",0.0932,0.1474,0.357,0
"183","Mnov_gtseq_37",0.2636,0.1092,1,0
"184","Mnov_gtseq_370",0.8254,0.0568,0.133,0
"185","Mnov_gtseq_371",0.0542,0.2276,0.635,0
"186","Mnov_gtseq_372",0.6642,1,0.052,0
"187","Mnov_gtseq_373",0.7472,0.1268,0.4268,0
"188","Mnov_gtseq_374",0.8128,1,0.341,0
"189","Mnov_gtseq_376",0,1,1,1
"190","Mnov_gtseq_377",1,1,0.3622,0
"191","Mnov_gtseq_378",0.6612,0.8062,0.5226,0
"192","Mnov_gtseq_379",0.4904,0.0566,0.0094,1
"193","Mnov_gtseq_38",0.509,0.5116,0.7566,0
"194","Mnov_gtseq_380",1,1,0.6854,0
"195","Mnov_gtseq_383",0.4292,0.0158,0.1728,1
"196","Mnov_gtseq_384",0.8052,1,1,0
"197","Mnov_gtseq_386",0.4648,0.0298,0.6538,1
"198","Mnov_gtseq_388",0.2904,0.7828,0.7982,0
"199","Mnov_gtseq_39",0.6604,0.6458,0.2796,0
"200","Mnov_gtseq_390",0.0106,1,1,1
"201","Mnov_gtseq_391",0,0,0,3
"202","Mnov_gtseq_394",0.7124,1,1,0
"203","Mnov_gtseq_397",1,1,0.695,0
"204","Mnov_gtseq_398",1,0.4956,1,0
"205","Mnov_gtseq_399",1,1,0.2022,0
"206","Mnov_gtseq_4",1,1,1,0
"207","Mnov_gtseq_40",0.124,0.3992,0.395,0
"208","Mnov_gtseq_400",0.8138,0.6134,0.6482,0
"209","Mnov_gtseq_401",1,1,1,0
"210","Mnov_gtseq_402",0.6364,0.6378,0.1564,0
"211","Mnov_gtseq_405",1,1,0.6898,0
"212","Mnov_gtseq_406",0.8232,0.6414,0.1994,0
"213","Mnov_gtseq_407",0.0222,0.3412,0.102,1
"214","Mnov_gtseq_41",0.0616,0.0422,1,1
"215","Mnov_gtseq_410",0.636,0.107,1,0
"216","Mnov_gtseq_413",0.166,1,1,0
"217","Mnov_gtseq_415",0.1766,1,1,0
"218","Mnov_gtseq_416",0.1544,0.5698,0.106,0
"219","Mnov_gtseq_417",0.614,0.1834,1,0
"220","Mnov_gtseq_42",0.1532,1,0.7702,0
"221","Mnov_gtseq_420",6e-04,0,0,3
"222","Mnov_gtseq_421",0.4626,0.2724,0.5412,0
"223","Mnov_gtseq_424",0.0914,1,0.2806,0
"224","Mnov_gtseq_426",1,1,1,0
"225","Mnov_gtseq_43",0.1702,1,1,0
"226","Mnov_gtseq_431",0.8134,0.3166,0.8072,0
"227","Mnov_gtseq_434",0.6234,1,0.8284,0
"228","Mnov_gtseq_438",0.8086,0.0838,1,0
"229","Mnov_gtseq_44",0.8068,0.284,0.345,0
"230","Mnov_gtseq_440",0.6146,0.6472,0.373,0
"231","Mnov_gtseq_441",1,0.814,1,0
"232","Mnov_gtseq_442",0.586,0.0204,1,1
"233","Mnov_gtseq_444",0.1602,0.802,0.4486,0
"234","Mnov_gtseq_445",0.612,1,0.157,0
"235","Mnov_gtseq_446",0.1588,0.2646,1,0
"236","Mnov_gtseq_447",0.158,0.8042,0.8124,0
"237","Mnov_gtseq_448",0.2474,1,1,0
"238","Mnov_gtseq_45",0.0242,0.0038,0.5208,2
"239","Mnov_gtseq_451",0.105,0.4558,0.068,0
"240","Mnov_gtseq_452",0.804,0.5418,0.6428,0
"241","Mnov_gtseq_454",0.3038,0.3098,0.6222,0
"242","Mnov_gtseq_46",1,0.1902,0.7476,0
"243","Mnov_gtseq_461",0.8046,0.3464,0.292,0
"244","Mnov_gtseq_462",1,1,0.588,0
"245","Mnov_gtseq_463",0.3962,1,0.3282,0
"246","Mnov_gtseq_465",0.37,1,0.466,0
"247","Mnov_gtseq_468",0.8096,1,1,0
"248","Mnov_gtseq_47",0.1718,0.6354,0.4602,0
"249","Mnov_gtseq_470",0.8362,0.1086,0.6488,0
"250","Mnov_gtseq_471",1,1,0.4036,0
"251","Mnov_gtseq_472",0.8206,1,0.0232,1
"252","Mnov_gtseq_473",0.1594,0.3474,0.0472,1
"253","Mnov_gtseq_475",0.4494,0.4476,0.2502,0
"254","Mnov_gtseq_477",0.638,0.8018,0.3708,0
"255","Mnov_gtseq_478",0.6508,0.4,0.6264,0
"256","Mnov_gtseq_479",0.4882,0.7918,1,0
"257","Mnov_gtseq_48",0,0,0,3
"258","Mnov_gtseq_50",0.3826,0.7778,0.7752,0
"259","Mnov_gtseq_502",1,1,0.8316,0
"260","Mnov_gtseq_504",0.6666,0.1594,0.199,0
"261","Mnov_gtseq_506",0.8098,0.3728,0.6376,0
"262","Mnov_gtseq_507",0.8198,0.2472,1,0
"263","Mnov_gtseq_509",0.1432,0.0046,0.6424,1
"264","Mnov_gtseq_51",1,0.4722,0.8276,0
"265","Mnov_gtseq_511",1,1,0.4322,0
"266","Mnov_gtseq_513",1,0.2338,0.353,0
"267","Mnov_gtseq_514",0.3776,0.2592,1,0
"268","Mnov_gtseq_515",1,0.268,0.7564,0
"269","Mnov_gtseq_517",0.2074,0.81,0.6254,0
"270","Mnov_gtseq_518",0.3882,0.4694,1,0
"271","Mnov_gtseq_520",0.6046,1,1,0
"272","Mnov_gtseq_521",0.3276,0.312,0.255,0
"273","Mnov_gtseq_522",0.436,0.7642,0.7914,0
"274","Mnov_gtseq_523",0.1434,1,1,0
"275","Mnov_gtseq_526",1,0.7722,0.783,0
"276","Mnov_gtseq_529",0.4698,1,1,0
"277","Mnov_gtseq_53",0.808,0.6246,0.2804,0
"278","Mnov_gtseq_532",0.7766,0.795,0.6044,0
"279","Mnov_gtseq_533",0.4942,1,0.0818,0
"280","Mnov_gtseq_536",0.0912,1,0.7882,0
"281","Mnov_gtseq_539",0,0.0058,0,3
"282","Mnov_gtseq_54",1,1,0.5648,0
"283","Mnov_gtseq_541",0.763,1,0.2566,0
"284","Mnov_gtseq_543",0.3352,0.8096,0.095,0
"285","Mnov_gtseq_544",0.4832,1,0.5242,0
"286","Mnov_gtseq_545",0.3626,0.3578,0.5084,0
"287","Mnov_gtseq_546",0.6226,0.4526,0.8176,0
"288","Mnov_gtseq_547",0.1814,0.0866,0.0876,0
"289","Mnov_gtseq_548",1,0.4934,1,0
"290","Mnov_gtseq_549",1,1,1,0
"291","Mnov_gtseq_55",0.4006,0.1882,0.55,0
"292","Mnov_gtseq_550",0.4574,1,0.6026,0
"293","Mnov_gtseq_553",1,0.4238,1,0
"294","Mnov_gtseq_56",0.357,1,1,0
"295","Mnov_gtseq_57",0.2492,0.4594,0.179,0
"296","Mnov_gtseq_58",1,1,0.2388,0
"297","Mnov_gtseq_6",0.4964,0.6518,0.6574,0
"298","Mnov_gtseq_60",0.6398,1,0.502,0
"299","Mnov_gtseq_61",0.2808,1,1,0
"300","Mnov_gtseq_63",0.346,0.193,1,0
"301","Mnov_gtseq_64",0.0924,0.4798,0.2722,0
"302","Mnov_gtseq_65",0.3658,0.8208,0.5084,0
"303","Mnov_gtseq_66",0.814,0.1714,0.2806,0
"304","Mnov_gtseq_67",0.6382,0.8228,0.8274,0
"305","Mnov_gtseq_68",0.0284,1,0.1804,1
"306","Mnov_gtseq_69",1,0.4652,0.527,0
"307","Mnov_gtseq_70",0.8204,0.6418,0.3912,0
"308","Mnov_gtseq_71",0.3526,0.456,0.2644,0
"309","Mnov_gtseq_72",0.8108,0.1412,0.0902,0
"310","Mnov_gtseq_73",1,0.0614,1,0
"311","Mnov_gtseq_74",0.0364,1,0.197,1
"312","Mnov_gtseq_75",0.4782,0.3558,0.7024,0
"313","Mnov_gtseq_8",0.109,0.0308,1,1
"314","Mnov_gtseq_80",0.0652,0.1006,0.1312,0
"315","Mnov_gtseq_81",0,0,0,3
"316","Mnov_gtseq_82",1,0.3722,0.1988,0
"317","Mnov_gtseq_83",0.1042,0.4686,0.807,0
"318","Mnov_gtseq_84",0.4806,1,0.3924,0
"319","Mnov_gtseq_86",0.821,0.8256,1,0
"320","Mnov_gtseq_88",0,0.003,0.023,3
"321","Mnov_gtseq_90",0.5268,0.5906,0.4132,0
"322","Mnov_gtseq_91",0.1828,1,0.3524,0
"323","Mnov_gtseq_92",1,0.8196,0.405,0
"324","Mnov_gtseq_93",0.5116,1,1,0
"325","Mnov_gtseq_94",1,0.8164,0.8284,0
"326","Mnov_gtseq_97",1,0.8178,0.5036,0
"327","Mnov_gtseq_98",0.0596,1,0.6706,0
