LABID,Locality,Concentration
12702,Rev,86.82
18264,CentAm,88.97
40333,HI-SEAK,23.29
40334,HI,25.21
40345,HI,31.03
40363,HI,94.83
40364,HI,37.48
40439,HI,24.80
40985,HI,64.87
41051,non.SEAK.HI,7.93
43496,HI-SEAK,13.20
43765,HI-Rus,6.48
43966,HI-GOA,32.50
47562,HI-GOA,34.30
47854,HI-AI.Ber,19.00
51327,MnMx-CA/OR/WA/SBC,168.65
51431,MnMx-CA/OR/WA/SBC,19.71
51840,HI-Rus,37.80
53020,HI-SEAK,4.84
53024,HI-SEAK,21.18
53025,HI-SEAK,22.40
53031,HI-SEAK,46.02
53032,HI-SEAK,136.33
53040,HI-SEAK,41.80
53071,HI-SEAK,27.80
53082,MnMx-SEAK,9.74
53083,HI-SEAK,16.60
53090,MnMx-SEAK,20.15
53096,HI-SEAK,17.63
53100,HI-SEAK,22.22
53101,HI-SEAK,21.74
53102,HI-SEAK,31.21
53111,MnMx-SEAK,15.53
53131,HI-SEAK,117.56
53133,HI-SEAK,13.79
53138,HI-SEAK,16.41
53142,HI-SEAK,32.63
53149,HI-SEAK,11.70
53760,CentAm,53.03
53846,CentAm,28.59
53847,CentAm,60.67
55996,Rev,126.14
55997,Rev,113.58
55998,Rev,131.26
56034,Rev,29.54
56389,CentAm,303.13
56391,CentAm,926.97
63269,OK,107.94
63273,OK,120.59
63275,OK,47.89
63328,OK,69.93
63342,OK,16.27
66792,CentAm,42.34
66805,CentAm,101.74
75696,Shemisphere,25.61
187911,CentAm,32.40
195649,HI-WA/SBC,16.73
195652,MnMx-CA/OR/WA/SBC,12.86
195655,HI-WA/SBC,24.68
195663,MnMx-CA/OR/WA/SBC,38.31
195683,MnMx-CA/OR/WA/SBC,30.72
195688,HI-WA/SBC,52.27
195691,MnMx-CA/OR/WA/SBC,16.11
195699,MnMx-CA/OR/WA/SBC,137.49
195701,MnMx-CA/OR/WA/SBC,91.23
195704,MnMx-CA/OR/WA/SBC,154.38
195726,CentAm,72.23
195762,MnMx-CA/OR/WA/SBC,24.74
195767,MnMx-CA/OR/WA/SBC,50.72
195784,MnMx-CA/OR/WA/SBC,33.10
196719,MnMx-CA/OR/WA/SBC,114.69
196729,MnMx-CA/OR/WA/SBC,183.44
196730,CentAm,84.14
196733,CentAm,68.87
196734,MnMx-CA/OR/WA/SBC,76.09
196740,MnMx-CA/OR/WA/SBC,83.34
196746,CentAm,57.41
196763,MnMx-CA/OR/WA/SBC,16.69
196764,MnMx-CA/OR/WA/SBC,38.34
196774,MnMx-CA/OR/WA/SBC,65.55
196783,CentAm,47.73
196794,CentAm,50.33
196810,CentAm,29.44
196828,HI-WA/SBC,40.76
196834,MnMx-CA/OR/WA/SBC,58.07
196838,CentAm,34.05
196843,MnMx-CA/OR/WA/SBC,34.10
196849,MnMx-CA/OR/WA/SBC,101.05
196852,HI-WA/SBC,100.95
196855,HI-WA/SBC,152.20
196856,MnMx-CA/OR/WA/SBC,118.43
196857,HI-WA/SBC,134.50
197662,CentAm,46.71
197665,CentAm,14.50
,,
,replicates,