,LABID,overlapping.genos,mismatches,
62,z0043704,20,10,Definitely different animals
20,z0041250,56,5,Hard to tell
9,z0195770,88,4,
16,z0108513,32,4,
27,z0196825,238,4,
54,z0045731,76,4,
93,z0056064,224,4,
97,z0056065,222,4,
109,z0197664,247,4,
2,z0196894,35,3,
38,z0041274,153,3,
42,z0196727,217,3,
46,z0195735,255,3,
49,z0196709,148,3,
103,z0195751,102,3,
105,z0061969,229,3,
112,z0196805,182,3,
129,z0196839,235,3,
130,z0029860,185,3,
131,z0029828,72,3,
146,z0195778,199,3,
171,z0043566,206,3,
18,z0055912,156,2,
24,z0029833,244,2,
34,z0040403,230,2,
78,z0053055,50,2,
106,z0056069,169,2,
114,z0196891,224,2,
118,z0196846,216,2,
128,z0195756,101,2,
134,z0043819,178,2,
142,z0196811,250,2,
147,z0040308,205,2,
154,z0041519,269,2,
156,z0053842,248,2,
158,z0195736,231,2,
159,z0043668,167,2,
5,z0051185,266,1,
7,z0043504,295,1,
8,z0068471,60,1,
12,z0195708,262,1,
13,z0043491,265,1,
19,z0061980,248,1,
21,z0043477,255,1,
23,z0041494,258,1,
26,z0107080,46,1,
28,z0195720,246,1,
32,z0055965,107,1,
36,z0196711,284,1,
37,z0195703,237,1,
39,z0173485,236,1,
43,z0196748,193,1,
45,z0051400,208,1,
47,z0056073,228,1,
50,z0196809,147,1,
51,z0043940,37,1,
55,z0196860,119,1,
56,z0043686,22,1,
57,z0196736,41,1,
69,z0195648,77,1,
87,z0045347,141,1,
98,z0195705,45,1,
113,z0043693,269,1,
116,z0196851,246,1,
123,z0195693,188,1,
127,z0195682,60,1,
136,z0195755,246,1,
137,z0029863,191,1,
151,z0040387,177,1,
155,z0195777,85,1,
165,z0041243,210,1,
1,z0197667,301,0,
3,z0025439,235,0,
4,z0045788,256,0,
6,z0012201,248,0,
10,z0053759,1,0,
11,z0045332,281,0,
14,z0053078,10,0,
15,z0195724,247,0,
17,z0178296,301,0,
22,z0195696,265,0,
25,z0196792,253,0,
29,z0196845,235,0,
30,z0062886,266,0,
31,z0196890,1,0,
33,z0030424,3,0,
35,z0056079,4,0,
40,z0051380,245,0,
41,z0044042,1,0,
44,z0055947,2,0,
48,z0196753,221,0,
52,z0041145,1,0,
53,z0052846,1,0,
58,z0196770,43,0,
59,z0045719,1,0,
60,z0056095,1,0,
61,z0195757,1,0,
63,z0041026,0,0,
64,z0063304,0,0,
65,z0043980,0,0,
66,z0195674,0,0,
67,z0195662,0,0,
68,z0196840,0,0,
70,z0195644,0,0,
71,z0175914,0,0,
72,z0195780,0,0,
73,z0029866,0,0,
74,z0055910,0,0,
75,z0043642,0,0,
76,z0056106,0,0,
77,z0187811,1,0,
79,z0195753,0,0,
80,z0029861,0,0,
81,z0051966,0,0,
82,z0056392,0,0,
83,z0051945,0,0,
84,z0195677,0,0,
85,z0045398,1,0,
86,z0005757,0,0,
88,z0175927,1,0,
89,z0041526,0,0,
90,z0005758,0,0,
91,z0029831,0,0,
92,z0175378,192,0,
94,z0043994,0,0,
95,z0196829,245,0,
96,z0043650,0,0,
99,z0108510,26,0,
100,z0016577,0,0,
101,z0107078,0,0,
102,z0043674,0,0,
104,z0175915,0,0,
107,z0051918,0,0,
108,z0051929,0,0,
110,z0051405,2,0,
111,z0196847,257,0,
115,z0051895,0,0,
117,z0187859,0,0,
119,z0051959,1,0,
120,z0195668,0,0,
121,z0195670,1,0,
122,z0195771,4,0,
124,z0195678,0,0,
125,z0195772,0,0,
126,z0195653,1,0,
132,z0196887,0,0,
133,z0195671,3,0,
135,z0195643,0,0,
138,z0195773,249,0,
139,z0195672,1,0,
140,z0195673,0,0,
141,z0051326,0,0,
143,z0195684,1,0,
144,z0043498,0,0,
145,z0195791,267,0,
148,z0043243,1,0,
149,z0043494,0,0,
150,z0207778,0,0,
152,z0195689,2,0,
153,z0195776,0,0,
157,z0045407,0,0,
160,z0175916,0,0,
161,z0053756,0,0,
162,z0113628,0,0,
163,z0043278,0,0,
164,z0195664,0,0,
166,z0044033,5,0,
167,z0195675,0,0,
168,z0195258,0,0,
169,z0056374,0,0,
170,z0061527,0,0,
172,z0195659,0,0,
173,z0187857,0,0,
174,z0175912,0,0,
175,z0043599,1,0,
176,z0061982,0,0,
177,z0041248,1,0,
178,z0195657,0,0,
179,z0197660,0,0,
180,z0046925,0,0,
181,z0207777,0,0,
182,z0043489,1,0,
183,z0146087,0,0,
184,z0051875,0,0,
185,z0044432,0,0,
186,z0197682,0,0,
187,z0053845,0,0,
188,z0053757,0,0,
189,z0195647,0,0,
190,z0195665,0,0,
191,z0044023,0,0,
192,z0037611,0,0,