Sample,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,pct.on.target,less than 275 loci
z0005757_Mnov_MS58_n0034820_R1.fastq.gz,246855,224240,199.5,343,324,0.908387515,
z0005758_Mnov_MS58_n0034822_R1.fastq.gz,535396,496752,1174,361,359,0.92782165,
z0005758_Mnov_MS58_n0034824_R1.fastq.gz,42553,37511,58,305,260,0.881512467,
z0016577_Mnov_MS58_n0034526_R1.fastq.gz,285287,260731,506,356,350,0.913925275,
z0029828_Mnov_MS58_n0034676_R1.fastq.gz,165725,143787,274,353,347,0.867624076,
z0029831_Mnov_MS58_n0034678_R1.fastq.gz,459000,425064,936,362,358,0.926065359,
z0029860_Mnov_MS58_n0034680_R1.fastq.gz,230643,200074,456,358,353,0.867461835,
z0029863_Mnov_MS58_n0034682_R1.fastq.gz,135580,123135,242,351,342,0.908209175,
z0037611_Mnov_MS58_n0034684_R1.fastq.gz,28133,371,1,0,0,0.01318736,x
z0040308_Mnov_MS58_n0034686_R1.fastq.gz,184414,156321,385,357,350,0.84766341,
z0040387_Mnov_MS58_n0034688_R1.fastq.gz,147602,132182,305,354,348,0.895529871,
z0041243_Mnov_MS58_n0034690_R1.fastq.gz,110088,91385,217,352,348,0.83010864,
z0041248_Mnov_MS58_n0034692_R1.fastq.gz,42099,38918,87.5,340,325,0.92444001,
z0041250_Mnov_MS58_n0034694_R1.fastq.gz,140046,117907,254,354,347,0.841916228,
z0041274_Mnov_MS58_n0034696_R1.fastq.gz,111449,86413,216.5,355,349,0.775359133,
z0041519_Mnov_MS58_n0034698_R1.fastq.gz,180385,136543,323.5,356,351,0.756953183,
z0041526_Mnov_MS58_n0034700_R1.fastq.gz,289270,242356,376.5,357,354,0.837819338,
z0043243_Mnov_MS58_n0034702_R1.fastq.gz,167182,137826,296,355,349,0.824406934,
z0043243_Mnov_MS58_n0034704_R1.fastq.gz,2218,420,1,1,1,0.189359784,x
z0043278_Mnov_MS58_n0034706_R1.fastq.gz,101118,88964,194.5,353,344,0.879803794,
z0043489_Mnov_MS58_n0034708_R1.fastq.gz,37050,29598,71,341,314,0.798866397,
z0043494_Mnov_MS58_n0034710_R1.fastq.gz,120968,107093,216,352,343,0.885300245,
z0043496_Mnov_MS58_n0034712_R1.fastq.gz,180030,162584,413,357,354,0.903093929,
z0043496_Mnov_MS58_n0034714_R1.fastq.gz,4532,769,0,1,1,0.169682259,x
z0043498_Mnov_MS58_n0034716_R1.fastq.gz,163525,146051,334,358,351,0.893141721,
z0043566_Mnov_MS58_n0034718_R1.fastq.gz,96904,76307,171.5,351,340,0.787449434,
z0043599_Mnov_MS58_n0034720_R1.fastq.gz,62449,52045,123,347,333,0.833400054,
z0043650_Mnov_MS58_n0034722_R1.fastq.gz,535373,470253,1122.5,363,360,0.878365177,
z0043668_Mnov_MS58_n0034724_R1.fastq.gz,147480,122507,294.5,358,354,0.830668565,
z0043674_Mnov_MS58_n0034726_R1.fastq.gz,389999,345303,784,362,358,0.885394578,
z0043686_Mnov_MS58_n0034728_R1.fastq.gz,226373,201309,461,357,353,0.889280082,
z0043693_Mnov_MS58_n0034730_R1.fastq.gz,280158,254170,567,357,355,0.907238059,
z0043704_Mnov_MS58_n0034732_R1.fastq.gz,43382,35984,62.5,332,302,0.829468443,
z0043819_Mnov_MS58_n0034734_R1.fastq.gz,216375,195326,443.5,356,352,0.902719815,
z0043819_Mnov_MS58_n0034736_R1.fastq.gz,374,33,0,1,0,0.088235294,x
z0043994_Mnov_MS58_n0034738_R1.fastq.gz,425861,380765,849.5,359,358,0.894106293,
z0044023_Mnov_MS58_n0034740_R1.fastq.gz,616,316,0,0,0,0.512987013,x
z0044033_Mnov_MS58_n0034742_R1.fastq.gz,120479,108301,271,358,352,0.898920144,
z0044432_Mnov_MS58_n0034744_R1.fastq.gz,31227,8751,22,279,196,0.280238255,
z0044432_Mnov_MS58_n0034746_R1.fastq.gz,13035,1352,2,34,7,0.103720752,x
z0045347_Mnov_MS58_n0034748_R1.fastq.gz,527459,503597,798,359,355,0.954760465,
z0045398_Mnov_MS58_n0034750_R1.fastq.gz,425459,387468,882.5,360,357,0.910705849,
z0045407_Mnov_MS58_n0034752_R1.fastq.gz,223232,115271,275,356,351,0.516373101,
z0046925_Mnov_MS58_n0034754_R1.fastq.gz,49669,9563,19,269,182,0.192534579,x
z0051326_Mnov_MS58_n0034756_R1.fastq.gz,200407,187543,458.5,358,356,0.935810625,
z0051328_Mnov_MS58_n0034758_R1.fastq.gz,260837,243195,499.5,358,353,0.93236389,
z0051380_Mnov_MS58_n0034760_R1.fastq.gz,267516,237531,527,359,353,0.887913246,
z0051405_Mnov_MS58_n0034762_R1.fastq.gz,409835,357448,858,361,358,0.872175388,
z0051875_Mnov_MS58_n0034764_R1.fastq.gz,200186,8049,16,247,158,0.040207607,x
z0051895_Mnov_MS58_n0034766_R1.fastq.gz,282382,255810,553,360,358,0.905900518,
z0051918_Mnov_MS58_n0034768_R1.fastq.gz,361693,337249,809,361,358,0.932417824,
z0051929_Mnov_MS58_n0034770_R1.fastq.gz,278045,262365,577,361,358,0.943606251,
z0051959_Mnov_MS58_n0034772_R1.fastq.gz,249506,210533,503.5,355,351,0.843799348,
z0053025_Mnov_MS58_n0034774_R1.fastq.gz,81874,56815,140,351,339,0.69393214,
z0053055_Mnov_MS58_n0034776_R1.fastq.gz,419172,364741,810.5,359,357,0.870146384,
z0053082_Mnov_MS58_n0034778_R1.fastq.gz,252905,214798,472,356,353,0.849322868,
z0053096_Mnov_MS58_n0034780_R1.fastq.gz,792035,715586,1822.5,365,363,0.90347775,
z0053101_Mnov_MS58_n0034782_R1.fastq.gz,363814,310087,682,361,358,0.85232289,
z0053133_Mnov_MS58_n0034784_R1.fastq.gz,455220,416942,975.5,363,359,0.915913185,
z0053138_Mnov_MS58_n0034786_R1.fastq.gz,445460,405907,987.5,362,359,0.911208638,
z0053149_Mnov_MS58_n0034788_R1.fastq.gz,342869,284426,609.5,360,356,0.829547145,
z0053149_Mnov_MS58_n0034790_R1.fastq.gz,2290,911,1,6,2,0.397816594,x
z0053756_Mnov_MS58_n0034792_R1.fastq.gz,115909,108162,259.5,358,350,0.933163085,
z0053757_Mnov_MS58_n0034794_R1.fastq.gz,60784,812,2,9,0,0.013358779,x
z0053760_Mnov_MS58_n0034796_R1.fastq.gz,215986,193843,474.5,359,357,0.897479466,
z0053842_Mnov_MS58_n0034798_R1.fastq.gz,138237,118729,282.5,352,348,0.858880039,
z0053845_Mnov_MS58_n0034800_R1.fastq.gz,43755,3190,6,130,42,0.072905954,x
z0053846_Mnov_MS58_n0034802_R1.fastq.gz,325308,313433,454,355,347,0.963496133,
z0053846_Mnov_MS58_n0034804_R1.fastq.gz,24708,1609,4,33,1,0.065120609,x
z0056034_Mnov_MS58_n0034806_R1.fastq.gz,357193,283965,638,359,354,0.794990383,
z0056064_Mnov_MS58_n0034808_R1.fastq.gz,536756,486709,1190,362,359,0.906760241,
z0056065_Mnov_MS58_n0034810_R1.fastq.gz,474985,423263,1034,362,358,0.89110814,
z0056069_Mnov_MS58_n0034812_R1.fastq.gz,444535,385454,964,361,360,0.867094829,
z0056073_Mnov_MS58_n0034814_R1.fastq.gz,737983,687807,1632.5,362,361,0.932009274,
z0056374_Mnov_MS58_n0034816_R1.fastq.gz,66534,58179,114.5,343,324,0.874425106,
z0056389_Mnov_MS58_n0034818_R1.fastq.gz,249012,232990,462,358,350,0.935657719,
z0061527_Mnov_MS58_n0034826_R1.fastq.gz,124509,72374,173.5,356,345,0.581275249,
z0061969_Mnov_MS58_n0034828_R1.fastq.gz,400884,366859,827.5,360,356,0.915125074,
z0061982_Mnov_MS58_n0034830_R1.fastq.gz,34336,1672,2,13,1,0.048695247,x
z0066805_Mnov_MS58_n0034832_R1.fastq.gz,230845,213671,453.5,357,351,0.92560376,
z0107078_Mnov_MS58_n0034514_R1.fastq.gz,424030,360846,816,362,357,0.850991675,
z0108510_Mnov_MS58_n0034516_R1.fastq.gz,455324,408567,928.5,361,358,0.897310487,
z0108513_Mnov_MS58_n0034518_R1.fastq.gz,241366,220019,524,359,355,0.911557552,
z0108513_Mnov_MS58_n0034520_R1.fastq.gz,4500,1451,1,12,2,0.322444444,x
z0113628_Mnov_MS58_n0034522_R1.fastq.gz,139861,86235,211,355,351,0.616576458,
z0146087_Mnov_MS58_n0034524_R1.fastq.gz,85791,16218,31,297,236,0.189040808,
z0175378_Mnov_MS58_n0034528_R1.fastq.gz,554897,490030,1222,363,361,0.883100828,
z0175912_Mnov_MS58_n0034530_R1.fastq.gz,67673,58124,133,349,333,0.85889498,
z0175915_Mnov_MS58_n0034532_R1.fastq.gz,463454,414748,983,361,357,0.894906506,
z0175916_Mnov_MS58_n0034534_R1.fastq.gz,116248,106061,250.5,355,348,0.912368385,
z0175927_Mnov_MS58_n0034536_R1.fastq.gz,726054,654680,1613.5,363,360,0.901696017,
z0187811_Mnov_MS58_n0034538_R1.fastq.gz,335380,281098,657.5,360,357,0.838147773,
z0187857_Mnov_MS58_n0034540_R1.fastq.gz,85951,64769,150.5,349,340,0.753557259,
z0187859_Mnov_MS58_n0034542_R1.fastq.gz,319247,254372,633.5,358,357,0.79678744,
z0187911_Mnov_MS58_n0034544_R1.fastq.gz,125618,97852,221.5,351,343,0.778964798,
z0195258_Mnov_MS58_n0034546_R1.fastq.gz,126544,104493,284.5,360,358,0.825744405,
z0195643_Mnov_MS58_n0034548_R1.fastq.gz,132492,126076,249.5,355,346,0.951574435,
z0195647_Mnov_MS58_n0034550_R1.fastq.gz,1256,463,1,2,0,0.368630573,x
z0195648_Mnov_MS58_n0034552_R1.fastq.gz,173422,164707,334.5,356,346,0.94974686,
z0195649_Mnov_MS58_n0034554_R1.fastq.gz,28890,4070,8,138,37,0.140879197,x
z0195653_Mnov_MS58_n0034556_R1.fastq.gz,164376,155159,322.5,356,345,0.943927337,
z0195655_Mnov_MS58_n0034558_R1.fastq.gz,510681,456043,1101.5,362,360,0.89300953,
z0195657_Mnov_MS58_n0034560_R1.fastq.gz,23114,19438,34,309,255,0.840962187,
z0195659_Mnov_MS58_n0034562_R1.fastq.gz,30245,24675,46,313,277,0.815837328,
z0195663_Mnov_MS58_n0034564_R1.fastq.gz,362234,318319,670.5,360,356,0.878766212,
z0195663_Mnov_MS58_n0034566_R1.fastq.gz,884,308,0,0,0,0.34841629,x
z0195664_Mnov_MS58_n0034568_R1.fastq.gz,132225,115931,307,362,358,0.876770656,
z0195665_Mnov_MS58_n0034570_R1.fastq.gz,1303,547,1,1,0,0.41980046,x
z0195668_Mnov_MS58_n0034572_R1.fastq.gz,169693,159364,301,353,349,0.939131255,
z0195670_Mnov_MS58_n0034574_R1.fastq.gz,197908,186864,401,356,351,0.944196293,
z0195671_Mnov_MS58_n0034576_R1.fastq.gz,165012,153783,329.5,353,346,0.931950404,
z0195672_Mnov_MS58_n0034578_R1.fastq.gz,185466,169826,370.5,353,348,0.915671875,
z0195673_Mnov_MS58_n0034580_R1.fastq.gz,145442,137180,292,355,348,0.94319385,
z0195674_Mnov_MS58_n0034582_R1.fastq.gz,818,405,1,0,0,0.495110024,x
z0195675_Mnov_MS58_n0034584_R1.fastq.gz,55555,46545,87,340,315,0.837818378,
z0195678_Mnov_MS58_n0034586_R1.fastq.gz,223202,202196,501,355,354,0.90588794,
z0195682_Mnov_MS58_n0034588_R1.fastq.gz,194270,181376,377,353,349,0.933628455,
z0195683_Mnov_MS58_n0034590_R1.fastq.gz,250440,190237,430,358,353,0.759611084,
z0195684_Mnov_MS58_n0034592_R1.fastq.gz,148351,124236,271,351,344,0.837446327,
z0195688_Mnov_MS58_n0034594_R1.fastq.gz,565907,514956,1149,360,359,0.909965772,
z0195689_Mnov_MS58_n0034596_R1.fastq.gz,120340,110580,235.5,350,345,0.91889646,
z0195691_Mnov_MS58_n0034598_R1.fastq.gz,416962,377824,855,362,360,0.906135331,
z0195693_Mnov_MS58_n0034600_R1.fastq.gz,181049,170622,373,355,351,0.942407856,
z0195705_Mnov_MS58_n0034602_R1.fastq.gz,248836,132029,242.5,347,341,0.53058641,
z0195705_Mnov_MS58_n0034604_R1.fastq.gz,32740,17677,30,310,250,0.539920586,
z0195736_Mnov_MS58_n0034606_R1.fastq.gz,117149,101427,223,354,345,0.865794842,
z0195751_Mnov_MS58_n0034608_R1.fastq.gz,298807,260697,564,360,354,0.872459481,
z0195751_Mnov_MS58_n0034610_R1.fastq.gz,4167,338,0,1,1,0.081113511,x
z0195755_Mnov_MS58_n0034612_R1.fastq.gz,174086,156214,351.5,355,351,0.897338097,
z0195756_Mnov_MS58_n0034614_R1.fastq.gz,217032,193641,446.5,357,350,0.892223267,
z0195762_Mnov_MS58_n0034616_R1.fastq.gz,254277,211058,465.5,358,353,0.830031816,
z0195767_Mnov_MS58_n0034618_R1.fastq.gz,356965,325138,711.5,360,357,0.910839998,
z0195770_Mnov_MS58_n0034620_R1.fastq.gz,11935,8525,13,206,127,0.714285714,x
z0195771_Mnov_MS58_n0034622_R1.fastq.gz,200278,179708,379.5,356,348,0.897292763,
z0195772_Mnov_MS58_n0034624_R1.fastq.gz,240180,227946,530.5,359,358,0.949063203,
z0195773_Mnov_MS58_n0034626_R1.fastq.gz,160524,145051,322,352,349,0.903609429,
z0195776_Mnov_MS58_n0034628_R1.fastq.gz,101188,94079,185,350,336,0.929744634,
z0195777_Mnov_MS58_n0034630_R1.fastq.gz,129180,112440,258.5,352,343,0.870413377,
z0195778_Mnov_MS58_n0034632_R1.fastq.gz,175912,148871,359.5,359,351,0.846281095,
z0195784_Mnov_MS58_n0034634_R1.fastq.gz,307042,260855,598.5,358,356,0.849574325,
z0195791_Mnov_MS58_n0034636_R1.fastq.gz,176104,161848,375.5,358,354,0.919047835,
z0196805_Mnov_MS58_n0034638_R1.fastq.gz,249310,228279,530,358,356,0.915643175,
z0196810_Mnov_MS58_n0034640_R1.fastq.gz,209478,176533,415,358,353,0.842728115,
z0196811_Mnov_MS58_n0034642_R1.fastq.gz,208244,183260,414.5,357,354,0.880025355,
z0196828_Mnov_MS58_n0034644_R1.fastq.gz,489849,423909,998,362,359,0.865387089,
z0196828_Mnov_MS58_n0034646_R1.fastq.gz,4367,2557,3,47,8,0.585527822,x
z0196829_Mnov_MS58_n0034648_R1.fastq.gz,369386,332067,717,360,357,0.898970183,
z0196838_Mnov_MS58_n0034650_R1.fastq.gz,191342,159624,372.5,358,351,0.834233989,
z0196839_Mnov_MS58_n0034652_R1.fastq.gz,209296,188119,409,356,351,0.898817942,
z0196846_Mnov_MS58_n0034654_R1.fastq.gz,229774,207191,453.5,358,353,0.901716469,
z0196847_Mnov_MS58_n0034656_R1.fastq.gz,265433,245720,543,359,355,0.925732671,
z0196851_Mnov_MS58_n0034658_R1.fastq.gz,253102,234401,500.5,358,353,0.926112792,
z0196887_Mnov_MS58_n0034660_R1.fastq.gz,232980,206216,480.5,360,354,0.885123187,
z0196891_Mnov_MS58_n0034662_R1.fastq.gz,307541,278840,644,360,359,0.906675858,
z0196894_Mnov_MS58_n0034664_R1.fastq.gz,329901,278444,659.5,359,355,0.844022904,
z0197660_Mnov_MS58_n0034666_R1.fastq.gz,61041,48965,124,351,344,0.802165757,
z0197664_Mnov_MS58_n0034668_R1.fastq.gz,387704,316863,728.5,361,358,0.817280709,
z0197682_Mnov_MS58_n0034670_R1.fastq.gz,248016,8104,18,259,164,0.032675311,x
z0207777_Mnov_MS58_n0034672_R1.fastq.gz,40473,6661,12,215,118,0.164578855,x
z0207778_Mnov_MS58_n0034674_R1.fastq.gz,172128,116827,276.5,357,348,0.678721649,