,id.Indiv,overlap,matches,mismatches,
z0197659.RunMS51,z0197660.RunMS58,293,293,0,Probably the same individual
z0055903.RunMS54,z0055903.RunMS45.90s,304,304,0,
z0053759.RunMS51,z0053759b.GTseq.prod,306,305,1,
z0056095.RunMS54,z0056095b.GTseq.prod,272,271,1,
z0045741.RunMS54,z0041501.RunMS54,326,201,125,
z0195741.RunMS51,z0055971.RunMS54,317,189,128,
z0051947.RunMS51,z0053847.RunMS51,321,192,129,
z0195740.RunMS54.1,z0108489.GTseq.prod,278,141,137,
z0055916.RunMS54,z0051929.RunMS58,291,152,139,
z0053843.RunMS51,z0056382.RunMS51,314,173,141,
z0108508.RunMS51,z0053754.RunMS51,304,161,143,
z0197668.RunMS54,z0195258.RunMS58,282,139,143,
z0195740.RunMS54.3,z0195648.RunMS58,284,141,143,
z0045404.RunMS54,z0053846.RunMS58,320,176,144,
z0195740.RunMS54.2,z0196848.RunMS51,286,141,145,
z0056092.RunMS54,z0196774.RunMS54,325,175,150,
z0044019.RunMS54,z0196861.RunMS51,307,156,151,
z0051893.RunMS51,z0196826.RunMS51,320,168,152,
z0041472b.RunMS54,z0051400b.RunMS54,324,172,152,
z0051899.RunMS51.5,z0195776.RunMS58,314,160,154,
z0175928.RunMS51,z0056399.GTseq.prod,316,162,154,
z0195718.RunMS54.2,z0195733.RunMS51,312,158,154,
z0043493.RunMS54,z0195258.RunMS58,324,170,154,
z0052846.RunMS54,z0053754.RunMS51,322,168,154,
z0041472.RunMS54,z0051400b.RunMS54,320,166,154,
z0108508b.RunMS51,z0053754.RunMS51,321,166,155,
z0051968.RunMS51,z0196756.RunMS51,320,165,155,
z0051899.RunMS51.3,z0196726.RunMS51,315,160,155,
z0045736.RunMS54,z0196865.RunMS51,323,168,155,
z0196707.RunMS51,z0196689.RunMS54,324,168,156,
z0195718.RunMS54.1,z0051402b.RunMS51,314,158,156,
z0055944.RunMS54,z0053111.RunMS54,316,159,157,
z0051899.RunMS51.4,z0045731.RunMS54,318,160,158,
z0197679.RunMS51,z0195708.RunMS51,328,170,158,
z0051899.RunMS51.1,z0195742b.RunMS51,319,160,159,
z0175377.RunMS51,z0107055.RunMS51,324,165,159,
z0045329.RunMS51,z0056394.RunMS51,325,165,160,
z0051899.RunMS51.2,z0195742.RunMS51,320,160,160,
z0056384.RunMS51,z0196848.RunMS51,324,159,165,
z0055999.RunMS54,z0061527.RunMS58,323,158,165,