LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0047562,150,NA,NA,NA,NA,293,NA
z0047854,76,NA,213,322,NA,289,NA
z0051327,74,NA,NA,NA,NA,324,NA
z0051431,276,NA,NA,NA,NA,28,NA
z0051840,261,NA,NA,NA,NA,NA,NA
z0053020,161,NA,NA,NA,NA,275,NA
z0053024,157,NA,NA,NA,NA,302,NA
z0053031,154,NA,NA,NA,NA,329,NA
z0053032,187,NA,NA,NA,NA,321,NA
z0053032b,307,NA,NA,NA,NA,NA,NA
z0053040,194,NA,NA,NA,NA,313,NA
z0053071,275,NA,NA,NA,NA,323,NA
z0053083,262,NA,NA,NA,NA,283,NA
z0053090,181,NA,NA,NA,NA,291,NA
z0053100,166,NA,178,293,NA,281,NA
z0053102,141,NA,NA,NA,NA,308,NA
z0053111,234,NA,NA,NA,NA,321,NA
z0053131,198,NA,NA,NA,NA,329,NA
z0053142,254,NA,NA,NA,NA,322,NA
z0055996,175,NA,NA,NA,NA,324,NA
z0055997,179,NA,NA,NA,NA,322,NA
z0055998,169,NA,NA,NA,NA,321,NA
z0063269,138,NA,NA,NA,NA,NA,NA
z0063273,191,NA,NA,NA,NA,NA,NA
z0063275,139,NA,NA,NA,NA,NA,NA
z0063328,155,NA,NA,NA,NA,NA,NA
z0063342,68,NA,NA,NA,NA,NA,NA
z0075696,113,NA,19,217,NA,310,NA
z0195699,214,NA,NA,NA,NA,328,NA
z0195699b,285,NA,NA,NA,NA,NA,NA
z0195701,245,NA,NA,NA,NA,301,NA
z0195704,191,NA,NA,NA,NA,329,NA
z0196719,220,NA,NA,NA,NA,329,NA
z0196729,207,NA,NA,NA,NA,322,NA
z0196734,261,NA,NA,NA,NA,323,NA
z0196740,213,NA,NA,NA,NA,310,NA
z0196763,184,NA,NA,NA,NA,323,NA
z0196764,144,NA,NA,NA,NA,330,NA
z0196774,241,NA,NA,NA,NA,329,NA
z0196834,250,NA,NA,NA,NA,97,NA
z0196843,248,NA,NA,NA,NA,141,NA
z0196849,259,NA,NA,NA,NA,323,NA
z0196852,298,NA,NA,NA,NA,325,NA
z0196855,298,NA,NA,NA,NA,326,NA
z0196856,307,NA,NA,NA,NA,324,NA
z0196857,298,NA,NA,NA,NA,327,NA
z0009880,NA,128,NA,NA,NA,NA,NA
z0011162,NA,270,NA,NA,NA,NA,NA
z0012201,NA,292,NA,NA,NA,NA,NA
z0012201b,NA,248,NA,NA,NA,NA,NA
z0012701,NA,321,NA,NA,NA,303,NA
z0016579,NA,269,NA,NA,NA,327,NA
z0017317,NA,280,NA,NA,NA,NA,NA
z0025405,NA,1,NA,NA,NA,1,NA
z0025439,NA,235,NA,NA,NA,NA,NA
z0025439b,NA,300,NA,NA,NA,NA,NA
z0029833b,NA,297,NA,NA,NA,NA,NA
z0030424,NA,272,NA,NA,NA,NA,NA
z0030424b,NA,3,NA,NA,NA,NA,NA
z0030475,NA,274,NA,NA,NA,NA,NA
z0032258,NA,286,NA,NA,NA,NA,NA
z0037610,NA,1,NA,NA,NA,19,NA
z0040275,NA,303,NA,NA,NA,226,NA
z0040287,NA,257,NA,NA,NA,325,NA
z0040337,NA,321,NA,NA,NA,NA,NA
z0040357,NA,237,NA,NA,NA,323,NA
z0040403,NA,294,NA,NA,NA,11,NA
z0040403b,NA,230,NA,NA,NA,NA,NA
z0040413,NA,227,NA,NA,NA,NA,NA
z0040451,NA,1,NA,NA,NA,NA,NA
z0040465,NA,254,NA,NA,NA,229,NA
z0040513,NA,1,161,189,NA,262,NA
z0040957,NA,87,NA,NA,NA,NA,NA
z0040960,NA,1,NA,NA,NA,25,NA
z0041072,NA,8,NA,NA,NA,NA,NA
z0041145,NA,10,NA,NA,NA,1,NA
z0041145b,NA,1,NA,NA,NA,NA,NA
z0041153,NA,275,NA,NA,NA,NA,NA
z0041233,NA,195,NA,NA,NA,325,NA
z0041250b,NA,193,NA,NA,NA,NA,NA
z0041274b,NA,5,NA,NA,NA,NA,NA
z0041465,NA,266,NA,NA,NA,254,NA
z0041472,NA,35,NA,NA,NA,323,NA
z0041480,NA,162,NA,NA,NA,315,NA
z0041483,NA,271,NA,NA,NA,336,NA
z0041494,NA,280,NA,NA,NA,146,NA
z0041494b,NA,262,NA,NA,NA,NA,NA
z0041498,NA,276,NA,NA,NA,331,NA
z0041501,NA,215,NA,NA,NA,329,NA
z0041507,NA,178,NA,NA,NA,322,NA
z0041512,NA,289,NA,NA,NA,337,NA
z0041521,NA,108,NA,NA,NA,NA,NA
z0041527,NA,239,NA,NA,NA,285,NA
z0042288,NA,240,NA,NA,NA,NA,NA
z0043464,NA,1,NA,NA,NA,NA,NA
z0043477,NA,277,NA,NA,NA,337,NA
z0043477b,NA,259,NA,NA,NA,NA,NA
z0043478,NA,151,NA,NA,NA,326,NA
z0043481,NA,278,NA,NA,NA,334,NA
z0043487,NA,3,NA,NA,NA,33,NA
z0043488,NA,1,NA,NA,NA,76,NA
z0043491,NA,267,NA,NA,NA,84,NA
z0043491b,NA,284,NA,NA,NA,NA,NA
z0043493,NA,1,NA,NA,NA,329,NA
z0043504,NA,301,NA,NA,NA,1,NA
z0043504b,NA,303,NA,NA,NA,NA,NA
z0043526,NA,263,NA,NA,NA,319,NA
z0043572,NA,278,NA,NA,NA,336,NA
z0043642b,NA,253,NA,NA,NA,NA,NA
z0043649,NA,275,NA,NA,NA,327,NA
z0043686b,NA,1,NA,NA,NA,NA,NA
z0043839,NA,2,122,278,NA,116,NA
z0043876,NA,312,NA,NA,NA,140,NA
z0043891,NA,257,NA,NA,NA,196,NA
z0043940,NA,37,NA,NA,NA,258,NA
z0043940b,NA,284,NA,NA,NA,NA,NA
z0043980b,NA,5,NA,NA,NA,NA,NA
z0044017,NA,168,NA,NA,NA,305,NA
z0044019,NA,1,NA,NA,NA,309,NA
z0044023,NA,234,NA,NA,NA,1,NA
z0044042,NA,1,NA,NA,NA,321,NA
z0044042b,NA,134,NA,NA,NA,NA,NA
z0044064,NA,283,NA,NA,NA,266,NA
z0045326,NA,266,NA,NA,NA,333,NA
z0045332b,NA,287,NA,NA,NA,NA,NA
z0045352,NA,221,NA,NA,NA,326,NA
z0045371,NA,245,NA,NA,NA,323,NA
z0045404,NA,1,NA,NA,NA,329,NA
z0045719,NA,226,NA,NA,NA,332,NA
z0045719b,NA,1,NA,NA,NA,NA,NA
z0045720,NA,196,NA,NA,NA,325,NA
z0045728,NA,279,NA,NA,NA,330,NA
z0045731,NA,298,NA,NA,NA,327,NA
z0045731b,NA,76,NA,NA,NA,NA,NA
z0045733,NA,194,NA,NA,NA,328,NA
z0045736,NA,1,NA,NA,NA,329,NA
z0045740,NA,192,NA,NA,NA,327,NA
z0045741,NA,5,NA,NA,NA,329,NA
z0045776,NA,198,NA,NA,NA,331,NA
z0045779,NA,291,NA,NA,NA,325,NA
z0045781,NA,110,NA,NA,NA,331,NA
z0045788,NA,317,NA,NA,NA,NA,NA
z0045788b,NA,256,NA,NA,NA,NA,NA
z0045789,NA,326,NA,NA,NA,NA,NA
z0045791,NA,319,NA,NA,NA,NA,NA
z0045793,NA,244,NA,NA,NA,330,NA
z0047603,NA,1,NA,NA,NA,1,NA
z0049019,NA,96,NA,NA,NA,322,NA
z0049020,NA,268,NA,NA,NA,328,NA
z0051185b,NA,267,NA,NA,NA,NA,NA
z0051380b,NA,248,NA,NA,NA,NA,NA
z0051400,NA,208,NA,NA,NA,329,NA
z0051400b,NA,311,NA,NA,NA,331,NA
z0051402,NA,277,NA,NA,NA,NA,NA
z0051816,NA,62,NA,NA,NA,NA,NA
z0051844,NA,263,NA,NA,NA,NA,NA
z0051939,NA,304,NA,NA,NA,NA,NA
z0052846,NA,1,NA,NA,NA,327,NA
z0052846b,NA,3,NA,NA,NA,NA,NA
z0053073,NA,255,NA,NA,NA,322,NA
z0053078,NA,264,NA,NA,NA,325,NA
z0053078b,NA,10,NA,NA,NA,308,NA
z0053103,NA,142,NA,NA,NA,327,NA
z0053759b,NA,310,NA,NA,NA,NA,NA
z0055903,NA,4,NA,309,NA,327,NA
z0055908,NA,21,NA,NA,NA,NA,NA
z0055909,NA,192,NA,NA,NA,NA,NA
z0055910,NA,245,NA,NA,NA,NA,NA
z0055912,NA,252,NA,NA,NA,310,NA
z0055912b,NA,156,NA,NA,NA,NA,NA
z0055916,NA,4,NA,NA,NA,294,NA
z0055932,NA,16,NA,NA,NA,NA,NA
z0055936,NA,126,NA,NA,NA,NA,NA
z0055944,NA,29,NA,NA,NA,320,NA
z0055947,NA,309,NA,NA,NA,NA,NA
z0055947b,NA,2,NA,NA,NA,NA,NA
z0055948,NA,135,NA,NA,NA,NA,NA
z0055957,NA,155,NA,NA,NA,NA,NA
z0055962,NA,311,NA,NA,NA,286,NA
z0055963,NA,286,NA,NA,NA,NA,NA
z0055965,NA,259,NA,NA,NA,NA,NA
z0055965b,NA,108,NA,NA,NA,NA,NA
z0055970,NA,303,NA,NA,NA,NA,NA
z0055977,NA,296,NA,NA,NA,287,NA
z0055986,NA,290,NA,NA,NA,NA,NA
z0055990,NA,319,NA,NA,NA,NA,NA
z0055999,NA,10,NA,NA,NA,325,NA
z0056010,NA,1,NA,NA,NA,NA,NA
z0056011,NA,314,NA,NA,NA,NA,NA
z0056029,NA,323,NA,NA,NA,NA,NA
z0056056,NA,208,NA,NA,NA,249,NA
z0056058,NA,319,NA,NA,NA,NA,NA
z0056059,NA,293,NA,NA,NA,284,NA
z0056062,NA,304,NA,NA,NA,326,NA
z0056063,NA,321,NA,NA,NA,NA,NA
z0056073b,NA,1,NA,NA,NA,NA,NA
z0056076,NA,321,NA,NA,NA,NA,NA
z0056079,NA,308,NA,NA,NA,NA,NA
z0056079b,NA,5,NA,NA,NA,NA,NA
z0056081,NA,2,NA,NA,NA,NA,NA
z0056082,NA,72,NA,NA,NA,NA,NA
z0056083,NA,1,NA,NA,NA,NA,NA
z0056085,NA,298,NA,NA,NA,324,NA
z0056089,NA,9,NA,NA,NA,51,NA
z0056090,NA,1,NA,NA,NA,NA,NA
z0056092,NA,3,NA,NA,NA,327,NA
z0056093,NA,1,NA,NA,NA,NA,NA
z0056095,NA,1,NA,NA,NA,322,NA
z0056095b,NA,272,NA,NA,NA,NA,NA
z0056102,NA,1,NA,NA,NA,NA,NA
z0056103,NA,315,NA,NA,NA,NA,NA
z0056106b,NA,1,NA,NA,NA,NA,NA
z0056111,NA,1,NA,NA,NA,NA,NA
z0056337,NA,202,NA,NA,NA,NA,NA
z0061967,NA,310,NA,NA,NA,329,NA
z0061980b,NA,250,NA,NA,NA,NA,NA
z0062886,NA,267,NA,NA,NA,NA,NA
z0062886b,NA,279,NA,NA,NA,NA,NA
z0063092,NA,326,NA,NA,NA,NA,NA
z0063304,NA,1,NA,NA,NA,NA,NA
z0066166,NA,329,NA,NA,NA,NA,NA
z0067213,NA,302,NA,NA,NA,NA,NA
z0068471,NA,61,NA,NA,NA,NA,NA
z0068471b,NA,323,NA,NA,NA,NA,NA
z0100814,NA,184,NA,NA,NA,NA,NA
z0101084,NA,317,NA,NA,NA,NA,NA
z0107080b,NA,291,NA,NA,NA,NA,NA
z0107099,NA,329,NA,NA,NA,NA,NA
z0108494,NA,1,NA,NA,NA,9,NA
z0108513b,NA,219,NA,NA,NA,NA,NA
z0108516,NA,1,NA,NA,NA,1,NA
z0145401,NA,215,NA,NA,NA,NA,NA
z0160234,NA,1,NA,NA,NA,NA,NA
z0173485b,NA,237,NA,NA,NA,NA,NA
z0175950,NA,210,NA,NA,NA,316,NA
z0178296b,NA,304,NA,NA,NA,NA,NA
z0187811b,NA,1,NA,NA,NA,NA,NA
z0187819,NA,314,NA,NA,NA,NA,NA
z0187885,NA,319,NA,NA,NA,1,NA
z0195642,NA,2,NA,NA,NA,NA,NA
z0195656,NA,1,NA,NA,NA,1,NA
z0195662,NA,39,NA,NA,NA,1,NA
z0195680,NA,1,NA,NA,NA,39,NA
z0195687,NA,276,NA,NA,NA,42,NA
z0195690,NA,1,NA,NA,NA,NA,NA
z0195694,NA,1,NA,NA,NA,1,NA
z0195695,NA,57,NA,NA,NA,NA,NA
z0195696,NA,265,NA,NA,NA,NA,NA
z0195696b,NA,322,NA,NA,NA,NA,NA
z0195702,NA,216,NA,NA,NA,330,NA
z0195703b,NA,279,NA,NA,NA,NA,NA
z0195708b,NA,265,NA,NA,NA,NA,NA
z0195711,NA,294,NA,NA,NA,327,NA
z0195716,NA,296,NA,NA,NA,327,NA
z0195718,NA,3,NA,NA,NA,314,NA
z0195720b,NA,251,NA,NA,NA,NA,NA
z0195724,NA,266,NA,NA,NA,205,NA
z0195724b,NA,277,NA,NA,NA,NA,NA
z0195725,NA,262,NA,NA,NA,314,NA
z0195728,NA,245,NA,NA,NA,284,NA
z0195731,NA,196,NA,NA,NA,310,NA
z0195732,NA,258,NA,NA,NA,237,NA
z0195735b,NA,267,NA,NA,NA,NA,NA
z0195737,NA,243,NA,NA,NA,326,NA
z0195740,NA,44,NA,NA,NA,288,NA
z0195749,NA,26,NA,NA,NA,NA,NA
z0195754,NA,1,NA,NA,NA,1,NA
z0195757b,NA,1,NA,NA,NA,NA,NA
z0195763,NA,1,NA,NA,NA,NA,NA
z0195764,NA,13,NA,NA,NA,1,NA
z0195766,NA,1,NA,NA,NA,NA,NA
z0195769,NA,1,NA,NA,NA,NA,NA
z0195770b,NA,18,NA,NA,NA,NA,NA
z0195783,NA,1,NA,NA,NA,45,NA
z0196686,NA,321,NA,NA,NA,327,NA
z0196687,NA,218,NA,NA,NA,329,NA
z0196689,NA,281,NA,NA,NA,326,NA
z0196690,NA,301,NA,NA,NA,313,NA
z0196691,NA,163,NA,NA,NA,309,NA
z0196692,NA,320,NA,NA,NA,319,NA
z0196693,NA,261,NA,NA,NA,320,NA
z0196694,NA,270,NA,NA,NA,321,NA
z0196709b,NA,154,NA,NA,NA,NA,NA
z0196710,NA,308,NA,NA,NA,329,NA
z0196711,NA,287,NA,NA,NA,NA,NA
z0196711b,NA,312,NA,NA,NA,NA,NA
z0196713,NA,271,NA,NA,NA,305,NA
z0196715,NA,212,NA,NA,NA,248,NA
z0196724,NA,238,NA,NA,NA,247,NA
z0196725,NA,209,NA,NA,NA,326,NA
z0196727b,NA,283,NA,NA,NA,NA,NA
z0196731,NA,169,NA,NA,NA,324,NA
z0196739,NA,287,NA,NA,NA,137,NA
z0196748b,NA,196,NA,NA,NA,NA,NA
z0196751,NA,203,NA,NA,NA,333,NA
z0196752,NA,102,NA,NA,NA,333,NA
z0196753b,NA,283,NA,NA,NA,NA,NA
z0196754,NA,248,NA,NA,NA,332,NA
z0196766,NA,253,NA,NA,NA,332,NA
z0196769,NA,154,NA,NA,NA,332,NA
z0196770b,NA,44,NA,NA,NA,NA,NA
z0196792b,NA,288,NA,NA,NA,NA,NA
z0196809,NA,204,NA,NA,NA,282,NA
z0196809b,NA,164,NA,NA,NA,NA,NA
z0196824,NA,221,NA,NA,NA,328,NA
z0196825,NA,239,NA,NA,NA,319,NA
z0196825b,NA,318,NA,NA,NA,NA,NA
z0196835,NA,218,NA,NA,NA,326,NA
z0196841,NA,284,NA,NA,NA,33,NA
z0196845b,NA,254,NA,NA,NA,NA,NA
z0196860b,NA,287,NA,NA,NA,NA,NA
z0196864,NA,169,NA,NA,NA,324,NA
z0196890,NA,1,NA,NA,NA,1,NA
z0196890b,NA,2,NA,NA,NA,NA,NA
z0196894b,NA,269,NA,NA,NA,NA,NA
z0196895,NA,281,NA,NA,NA,NA,NA
z0197663,NA,309,NA,NA,NA,303,NA
z0197667,NA,303,NA,NA,NA,NA,NA
z0197667b,NA,308,NA,NA,NA,NA,NA
z0197668,NA,19,NA,NA,NA,283,NA
z0197669,NA,311,NA,NA,NA,327,NA
z0197672,NA,304,NA,NA,NA,315,NA
z0043979,NA,NA,1,NA,NA,NA,NA
z0043979b,NA,NA,2,NA,NA,NA,NA
z0043980,NA,NA,208,242,NA,336,NA
z0055931,NA,NA,238,279,NA,315,NA
z0195777b,NA,NA,30,NA,NA,NA,NA
z0045405,NA,NA,NA,318,NA,NA,NA
z0175371,NA,NA,NA,302,NA,323,NA
z0029861,NA,NA,NA,NA,NA,20,NA
z0029865,NA,NA,NA,NA,NA,306,NA
z0029866,NA,NA,NA,NA,NA,3,NA
z0037607,NA,NA,NA,NA,NA,326,NA
z0037609,NA,NA,NA,NA,NA,284,NA
z0040513b,NA,NA,NA,NA,NA,2,NA
z0040961,NA,NA,NA,NA,NA,316,NA
z0041026,NA,NA,NA,NA,NA,336,NA
z0041115,NA,NA,NA,NA,NA,320,NA
z0041472b,NA,NA,NA,NA,NA,326,NA
z0041522,NA,NA,NA,NA,NA,313,NA
z0041526b,NA,NA,NA,NA,NA,1,NA
z0043475,NA,NA,NA,NA,NA,281,NA
z0043475b,NA,NA,NA,NA,NA,216,NA
z0043513,NA,NA,NA,NA,NA,71,NA
z0043627,NA,NA,NA,NA,NA,101,NA
z0043631,NA,NA,NA,NA,NA,1,NA
z0043642,NA,NA,NA,NA,NA,331,NA
z0043652,NA,NA,NA,NA,NA,329,NA
z0043747,NA,NA,NA,NA,NA,1,NA
z0043789,NA,NA,NA,NA,NA,4,NA
z0043807,NA,NA,NA,NA,NA,331,NA
z0043877,NA,NA,NA,NA,NA,288,NA
z0043898,NA,NA,NA,NA,NA,6,NA
z0043904,NA,NA,NA,NA,NA,4,NA
z0043915,NA,NA,NA,NA,NA,297,NA
z0043954,NA,NA,NA,NA,NA,335,NA
z0043994b,NA,NA,NA,NA,NA,236,NA
z0044044,NA,NA,NA,NA,NA,3,NA
z0044047,NA,NA,NA,NA,NA,283,NA
z0044059,NA,NA,NA,NA,NA,33,NA
z0045344,NA,NA,NA,NA,NA,2,NA
z0045399,NA,NA,NA,NA,NA,324,NA
z0045739,NA,NA,NA,NA,NA,325,NA
z0045742,NA,NA,NA,NA,NA,329,NA
z0045776b,NA,NA,NA,NA,NA,327,NA
z0047587,NA,NA,NA,NA,NA,1,NA
z0047601,NA,NA,NA,NA,NA,1,NA
z0051399,NA,NA,NA,NA,NA,2,NA
z0051447,NA,NA,NA,NA,NA,1,NA
z0051885,NA,NA,NA,NA,NA,318,NA
z0051888,NA,NA,NA,NA,NA,1,NA
z0051888b,NA,NA,NA,NA,NA,329,NA
z0051906,NA,NA,NA,NA,NA,9,NA
z0051932,NA,NA,NA,NA,NA,1,NA
z0051966,NA,NA,NA,NA,NA,7,NA
z0052882,NA,NA,NA,NA,NA,327,NA
z0053051,NA,NA,NA,NA,NA,328,NA
z0053054,NA,NA,NA,NA,NA,320,NA
z0053082b,NA,NA,NA,NA,NA,1,NA
z0053090b,NA,NA,NA,NA,NA,191,NA
z0053111b,NA,NA,NA,NA,NA,286,NA
z0053132,NA,NA,NA,NA,NA,330,NA
z0055971,NA,NA,NA,NA,NA,320,NA
z0061978,NA,NA,NA,NA,NA,4,NA
z0113619,NA,NA,NA,NA,NA,17,NA
z0113628b,NA,NA,NA,NA,NA,1,NA
z0174005,NA,NA,NA,NA,NA,313,NA
z0175351,NA,NA,NA,NA,NA,1,NA
z0175378b,NA,NA,NA,NA,NA,2,NA
z0187885b,NA,NA,NA,NA,NA,325,NA
z0195646,NA,NA,NA,NA,NA,13,NA
z0195716b,NA,NA,NA,NA,NA,330,NA
z0196725b,NA,NA,NA,NA,NA,326,NA
z0196828b,NA,NA,NA,NA,NA,131,NA
z0196852b,NA,NA,NA,NA,NA,317,NA
z0196855b,NA,NA,NA,NA,NA,325,NA
z0196857b,NA,NA,NA,NA,NA,324,NA